placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household
zip/10001,10001,2011,67795,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2012,76138,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2013,81671,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2014,81445,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2015,86801,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2016,85168,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2017,85221,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2018,88526,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2019,92840,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2020,96787,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2011,86415,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2012,87426,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2013,85324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2014,87946,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2015,84584,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2016,88567,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2017,90797,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2018,95064,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2019,97407,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10312,10312,2020,96785,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11205,11205,2011,42760,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11205,11205,2012,42434,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11205,11205,2013,44688,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11205,11205,2014,47050,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11205,11205,2015,47575,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
